id; bot; midcount;mid; top;roof;
1;26,14,20,8;4;56,44,50,38;86,74,80,68;66;
2;26,14,20,8;4;56,44,50,38;86,74,80,68;66;
3;26,14,20,8;4;56,44,50,38;86,74,80,68;66;
4;26,14,20,8;4;56,44,50,38;86,74,80,68;66;
5;26,14,20,8;4;56,44,50,38;86,74,80,68;66;
6;26,14,20,8;4;56,44,50,38;86,74,80,68;66;
7;26,14,20,8;4;56,44,50,38;86,74,80,68;66;
8;26,14,20,8;4;56,44,50,38;86,74,80,68;66;
9;26,14,20,8;4;56,44,50,38;86,74,80,68;66;
10;26,14,20,8;4;56,44,50,38;86,74,80,68;66;
11;26,14,20,8;4;56,44,50,38;86,74,80,68;66;
12;26,14,20,8;4;56,44,50,38;86,74,80,68;66;
13;26,14,20,8;4;56,44,50,38;86,74,80,68;66;
14;26,14,20,8;4;56,44,50,38;86,74,80,68;66;
15;26,14,20,8;4;56,44,50,38;86,74,80,68;66;
16;26,14,20,8;4;56,44,50,38;86,74,80,68;66;
17;26,14,20,8;4;56,44,50,38;86,74,80,68;66;
18;26,14,20,8;4;56,44,50,38;86,74,80,68;66;
19;26,14,20,8;4;56,44,50,38;86,74,80,68;66;
20;26,14,20,8;4;56,44,50,38;86,74,80,68;66;
21;26,14,20,8;4;56,44,50,38;86,74,80,68;66;
22;26,14,20,8;4;56,44,50,38;86,74,80,68;66;
23;26,14,20,8;4;56,44,50,38;86,74,80,68;66;
24;26,14,20,8;4;56,44,50,38;86,74,80,68;66;
25;26,14,20,8;4;56,44,50,38;86,74,80,68;66;
26;26,14,20,8;4;56,44,50,38;86,74,80,68;66;
27;26,14,20,8;4;56,44,50,38;86,74,80,68;66;
28;26,14,20,8;4;56,44,50,38;86,74,80,68;66;
29;26,14,20,8;4;56,44,50,38;86,74,80,68;66;
30;26,14,20,8;4;56,44,50,38;86,74,80,68;66;
31;26,14,20,8;4;56,44,50,38;86,74,80,68;66;
32;26,14,20,8;4;56,44,50,38;86,74,80,68;66;
33;26,14,20,8;4;56,44,50,38;86,74,80,68;66;
34;26,14,20,8;4;56,44,50,38;86,74,80,68;66;
35;26,14,20,8;4;56,44,50,38;86,74,80,68;66;
36;26,14,20,8;4;56,44,50,38;86,74,80,68;66;
37;26,14,20,8;4;56,44,50,38;86,74,80,68;66;
38;26,14,20,8;4;56,44,50,38;86,74,80,68;66;
