id; bot; midcount;mid; top;roof;
1; 8, 20, 26, 14;8;38, 50, 56, 44, 68, 80, 86, 74;98, 110, 116, 104;96;
2; 45, 69, 75, 63;8;124, 148, 154, 142, 203, 227, 233, 221;282, 306, 312, 300;250;
3;26,14,20,8;8;56,44,50,38,86,74,80,68;116,104,110,98;96;
4; 8, 20, 26, 14;8;38, 50, 56, 44, 68, 80, 86, 74;98, 110, 116, 104;96;
5; 8, 20, 26, 14;8;38, 50, 56, 44, 68, 80, 86, 74;98, 110, 116, 104;96;
6;10,34,40,16;8;54,78,84,60,98,122,128,104;142,166,172,148;140;
7; 24, 36, 54, 30; 8; 82, 94, 112, 88, 140, 152, 170, 146; 198, 210, 228, 204; 184;
8; 40, 16, 34, 10; 8; 84, 60, 78, 54, 128, 104, 122, 98; 172, 148, 166, 142; 146;
9; 40, 76, 82, 58; 8; 126, 162, 168, 144, 212, 248, 254, 230; 298, 334, 340, 316; 272;
10; 24, 36, 54, 30; 8; 82, 94, 112, 88, 140, 152, 170, 146; 198, 210, 228, 204; 184;
