id,wrf,idx,
1, 2, 74,
2, 2, 22,
3, 3, 51,
4, 3, 25,
5, 2, 22,
6, 2, 21,
7, 2, 23,
8, 2, 71,
9, 3, 50,
10, 2, 22,
11, 0, 624,
12, 2, 47,
13, 2, 46,
14, 3, 51,
15, 0, 599,
16, 1, 576,
17, 0, 598,
18, 3, 51,
19, 3, 26,
20, 2, 73,
21, 2, 74,
22, 2, 73,
23, 2, 71,
24, 3, 27,
25, 3, 1,
26, 2, 49,
27, 2, 73,
28, 1, 601,
29, 2, 73,
30, 3, 50,
31, 3, 52,
32, 2, 74,
33, 2, 22,
34, 3, 51,
35, 0, 597,
36, 3, 51,
37, 0, 624,
38, 2, 72,
